,municipios_ibge
0,1100015
1,1100023
2,1100031
3,1100049
4,1100056
5,1100064
6,1100072
7,1100080
8,1100098
9,1100106
10,1100114
11,1100122
12,1100130
13,1100148
14,1100155
15,1100189
16,1100205
17,1100254
18,1100262
19,1100288
20,1100296
21,1100304
22,1100320
23,1100338
24,1100346
25,1100379
26,1100403
27,1100452
28,1100502
29,1100601
30,1100700
31,1100809
32,1100908
33,1100924
34,1100940
35,1101005
36,1101104
37,1101203
38,1101302
39,1101401
40,1101435
41,1101450
42,1101468
43,1101476
44,1101484
45,1101492
46,1101500
47,1101559
48,1101609
49,1101708
50,1101757
51,1101807
52,1200013
53,1200054
54,1200104
55,1200138
56,1200179
57,1200203
58,1200252
59,1200302
60,1200328
61,1200336
62,1200344
63,1200351
64,1200385
65,1200393
66,1200401
67,1200427
68,1200435
69,1200450
70,1200500
71,1200609
72,1200708
73,1200807
74,1300029
75,1300060
76,1300086
77,1300102
78,1300144
79,1300201
80,1300300
81,1300409
82,1300508
83,1300607
84,1300631
85,1300680
86,1300706
87,1300805
88,1300839
89,1300904
90,1301001
91,1301100
92,1301159
93,1301209
94,1301308
95,1301407
96,1301506
97,1301605
98,1301654
99,1301704
100,1301803
101,1301852
102,1301902
103,1301951
104,1302009
105,1302108
106,1302207
107,1302306
108,1302405
109,1302504
110,1302553
111,1302603
112,1302702
113,1302801
114,1302900
115,1303007
116,1303106
117,1303205
118,1303304
119,1303403
120,1303502
121,1303536
122,1303569
123,1303601
124,1303700
125,1303809
126,1303908
127,1303957
128,1304005
129,1304062
130,1304104
131,1304203
132,1304237
133,1304260
134,1304302
135,1304401
136,1400027
137,1400050
138,1400100
139,1400159
140,1400175
141,1400209
142,1400233
143,1400282
144,1400308
145,1400407
146,1400456
147,1400472
148,1400506
149,1400605
150,1400704
151,1500107
152,1500131
153,1500206
154,1500305
155,1500347
156,1500404
157,1500503
158,1500602
159,1500701
160,1500800
161,1500859
162,1500909
163,1500958
164,1501006
